2e2h	3.95
2e2i	3.41
2e2j	3.5
2e5l	3.3
2e9r	2.81
2e9t	2.6
2e9z	3.0
2ec0	2.75
2err	None
2ese	None
2ez6	2.05
2f4v	3.8
2f8k	2.0
2f8s	3.0
2f8t	3.1
2fk6	2.9
2fmt	2.8
2fy1	None
2fz2	2.9
2g4b	2.5
2g8f	1.65
2g8h	1.85
2g8i	1.65
2g8k	1.65
2g8u	2.7
2g8v	1.85
2g8w	2.05
2gic	2.92
2gje	3.37
2gjw	2.85
2gtt	3.49
2gxb	2.25
2hgh	None
2hgi	5.0
2hgj	5.0
2hgr	4.51
2hgu	4.51
2hhh	3.35
2ht1	3.51
2hvy	2.3
2hw8	2.1
2hyi	2.3
2i2p	3.22
2i2t	3.22
2i2u	3.22
2i2v	3.22
2i2y	None
2i91	2.65
2ihx	None
2ix1	2.74
2iy5	3.1
2iz8	3.3
2iz9	2.85
2izm	2.7
2izn	2.56
2j00	2.8
2j01	2.8
2j02	2.8
2j03	2.8
2j0q	3.2
2j0s	2.21
2ja5	3.8
2ja6	4.0
2ja7	3.8
2ja8	3.8
2jea	2.33
2jlu	2.04
2jlv	2.3
2jlw	2.6
2jlx	2.2
2jly	2.4
2jlz	2.2
2jpp	None
2jq7	None
2kdq	None
2kfy	None
2kg0	None
2kg1	None
2kh9	None
2km8	None
2kx5	None
2kxn	None
2l2k	None
2l3c	None
2l3j	None
2l41	None
2l5d	None
2la5	None
2lbs	None
2leb	None
2lec	None
2li8	None
2lup	None
2m8d	None
2nqp	3.5
2nr0	3.9
2nre	4.0
2nue	2.9
2nuf	2.5
2nug	1.7
2nvq	2.9
2nvt	3.36
2nvx	3.6
2nvz	4.3
2nz4	2.5
2o5i	2.5
2o5j	3.0
2ogm	3.5
2oih	2.4
2oj3	2.9
2om3	4.4
2otj	2.9
2otl	2.7
2ow8	3.71
2ozb	2.6
2pjp	2.3
2ply	2.6
2po1	1.94
2ppb	3.0
2pxb	2.0
2pxd	2.0
2pxe	2.0
2pxf	2.0
2pxk	2.0
2pxl	2.5
2pxp	2.5
2pxq	2.5
2pxt	2.5
2pxu	2.5
2pxv	2.0
2py9	2.56
2q66	1.8
2qa4	3.0
2qal	3.21
2qam	3.21
2qan	3.21
2qao	3.21
2qb9	3.54
2qba	3.54
2qbb	3.54
2qbc	3.54
2qbd	3.3
2qbe	3.3
2qbf	3.3
2qbg	3.3
2qbh	4.0
2qbi	4.0
2qbj	4.0
2qbk	4.0
2qex	2.9
2qk9	2.55
2qkk	3.2
2qnh	3.83
2qou	3.93
2qov	3.93
2qow	3.93
2qox	3.93
2qoy	3.5
2qoz	3.5
2qp0	3.5
2qp1	3.5
2qqp	3.8
2qux	2.44
2r7r	2.6
2r7s	3.24
2r7t	3.0
